,Player,Pos,Age,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
0,Nick Bonino,F,35,14,800000.0,42,1,4,5,-9,8,1,0,0,0,4,0,0,27,3.7,518.0,12:20,-0.9,0.3,-0.5,74,7,196,185,51.4,NYR
1,Jonny Brodzinski,F,30,7,775000.0,24,1,8,9,-2,4,0,1,0,0,7,1,0,37,2.7,261.0,10:54,0.2,0.3,0.5,8,9,67,48,58.3,NYR
2,Adam Fox,D,25,4,12000000.0,33,7,23,30,1,14,4,3,0,1,8,15,0,56,12.5,751.0,22:46,2.6,1.9,4.5,48,12,0,0,,NYR
3,Barclay Goodrow,F,30,9,5100000.0,41,1,4,5,-4,38,1,0,0,0,4,0,0,30,3.3,521.0,12:42,-0.9,0.5,-0.3,41,61,139,117,54.3,NYR
4,Erik Gustafsson,D,31,7,825000.0,43,4,17,21,1,19,4,0,0,0,9,8,0,61,6.6,745.0,17:19,1.5,1.9,3.3,40,28,0,0,,NYR
5,Kaapo Kakko,F,22,4,2400000.0,22,3,1,4,3,2,3,0,0,1,1,0,0,26,11.5,301.0,13:41,-0.2,0.5,0.3,7,6,0,0,,NYR
6,Chris Kreider,F,32,11,3000000.0,43,20,18,38,9,16,9,9,2,5,13,4,1,123,16.3,802.0,18:39,3.3,1.4,4.7,11,38,19,32,37.3,NYR
7,Ryan Lindgren,D,25,5,4000000.0,42,2,5,7,5,24,2,0,0,1,5,0,0,40,5.0,821.0,19:33,-0.2,2.3,2.2,54,50,0,0,,NYR
8,K'Andre Miller,D,24,3,2748000.0,41,7,9,16,6,24,7,0,0,3,8,0,1,49,14.3,903.0,22:02,1.1,2.6,3.7,53,54,0,0,,NYR
9,Artemi Panarin,F,32,8,1000000.0,43,27,33,60,-1,12,19,8,0,2,15,18,0,178,15.2,866.0,20:09,6.0,1.1,7.0,6,3,1,7,12.5,NYR
10,Tyler Pitlick,F,32,9,787500.0,28,1,2,3,-1,4,1,0,0,0,2,0,0,28,3.6,282.0,10:05,-0.4,0.3,-0.1,10,52,2,14,12.5,NYR
11,Jonathan Quick,G,38,16,775000.0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,,868.0,57:53,0.0,0.0,2.7,0,0,0,0,,NYR
12,Braden Schneider,D,22,2,832500.0,43,3,9,12,0,10,3,0,0,1,9,0,0,43,7.0,645.0,15:01,0.6,1.6,2.2,51,56,0,0,,NYR
13,Igor Shesterkin,G,28,4,5000000.0,28,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,1652.0,59:01,0.0,0.0,4.7,0,0,0,0,,NYR
14,Vincent Trocheck,F,30,10,3500000.0,43,14,29,43,2,37,6,8,0,3,21,8,0,110,12.7,905.0,21:03,3.0,1.2,4.2,39,61,481,293,62.1,NYR
15,Jimmy Vesey,F,30,7,800000.0,41,8,5,13,5,11,8,0,0,4,5,0,0,69,11.6,512.0,12:29,0.6,0.8,1.4,17,27,6,6,50.0,NYR
16,Blake Wheeler,F,37,15,800000.0,43,7,10,17,-3,21,6,1,0,1,10,0,0,63,11.1,545.0,12:40,0.8,0.6,1.4,27,20,35,19,64.8,NYR
17,Mika Zibanejad,F,30,12,1000000.0,42,14,27,41,7,24,7,6,1,1,12,14,1,105,13.3,816.0,19:25,3.0,1.3,4.3,33,13,295,270,52.2,NYR
0,Cam Atkinson,F,34,11,5275000.0,43,10,11,21,-11,16,9,1,0,3,8,3,0,130,7.7,731.0,17:00,1.0,0.6,1.6,28,9,7,7,50.0,PHI
1,Bobby Brink,F,22,1,832500.0,38,7,11,18,7,6,5,2,0,1,9,2,0,55,12.7,548.0,14:25,0.9,1.0,1.9,15,11,3,2,60.0,PHI
2,Noah Cates,F,24,2,2625000.0,22,1,3,4,-3,0,1,0,0,0,2,0,1,21,4.8,315.0,14:19,-0.4,0.3,-0.1,15,5,107,141,43.1,PHI
3,Sean Couturier,F,31,11,4000000.0,40,10,19,29,11,16,7,3,0,2,15,3,1,113,8.8,802.0,20:03,1.6,1.5,3.1,23,9,437,396,52.5,PHI
4,Nicolas Deslauriers,F,32,10,2000000.0,42,0,3,3,-8,46,0,0,0,0,3,0,0,40,0.0,370.0,8:49,-0.7,0.2,-0.5,18,105,4,5,44.4,PHI
5,Jamie Drysdale,D,21,3,2300000.0,2,0,2,2,1,2,0,0,0,0,1,1,0,3,0.0,42.0,20:58,0.1,0.2,0.3,3,3,0,0,,PHI
6,Samuel Ersson,G,24,1,800000.0,19,0,0,0,0,2,0,0,0,0,0,0,0,0,,1135.0,59:44,0.0,0.0,3.2,0,0,0,0,,PHI
7,Joel Farabee,F,23,4,2250000.0,44,15,19,34,11,29,14,1,0,2,16,3,0,98,15.3,691.0,15:43,2.9,1.3,4.2,38,22,17,20,45.9,PHI
8,Tyson Foerster,F,22,1,832500.0,43,6,11,17,4,18,3,3,0,0,8,3,0,95,6.3,729.0,16:57,0.2,1.1,1.3,28,32,0,1,0.0,PHI
9,Morgan Frost,F,24,4,1450000.0,33,7,9,16,6,10,5,2,0,1,7,2,0,63,11.1,508.0,15:24,0.9,0.9,1.7,28,19,162,199,44.9,PHI
10,Carter Hart,G,25,5,4479000.0,25,0,1,1,0,0,0,0,0,0,1,0,0,0,,1415.0,56:36,0.0,0.0,4.7,0,0,0,0,,PHI
11,Garnet Hathaway,F,32,8,1700000.0,44,4,2,6,-10,68,3,0,1,0,1,0,1,43,9.3,489.0,11:06,-0.4,0.3,-0.1,35,106,12,6,66.7,PHI
12,Travis Konecny,F,26,7,6000000.0,44,21,19,40,17,40,14,2,5,2,18,1,0,147,14.3,855.0,19:26,3.6,1.7,5.4,14,29,14,28,33.3,PHI
