,Player,Pos,Age,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
0,Teddy Blueger,F,29,5,1650000.0,30,5,13,18,8,11,4,0,1,0,12,0,1,45,11.1,460.0,15:19,0.9,0.6,1.6,17,24,215,203,51.4,VAN
1,Brock Boeser,F,26,7,6650000.0,44,27,19,46,21,4,17,10,0,3,16,3,0,122,22.1,826.0,18:46,4.7,1.4,6.1,14,18,6,9,40.0,VAN
2,Ian Cole,D,34,13,1500000.0,43,1,6,7,4,40,1,0,0,0,6,0,0,34,2.9,828.0,19:15,-0.3,1.4,1.2,85,42,0,0,,VAN
3,Thatcher Demko,G,28,6,6000000.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,1846.0,59:33,0.0,0.0,6.8,0,0,0,0,,VAN
4,Casey DeSmith,G,32,5,1900000.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,800.0,57:08,0.0,0.0,2.8,0,0,0,0,,VAN
5,Conor Garland,F,27,5,6000000.0,44,6,15,21,12,8,6,0,0,0,14,1,0,94,6.4,601.0,13:40,0.9,0.9,1.8,15,14,0,1,0.0,VAN
6,Filip Hronek,D,26,5,5500000.0,44,3,33,36,33,26,1,2,0,0,26,7,0,86,3.5,1040.0,23:38,2.4,3.8,6.3,42,34,0,0,,VAN
7,Dakota Joshua,F,27,3,850000.0,43,11,10,21,13,39,11,0,0,3,10,0,0,50,22.0,589.0,13:42,1.4,0.9,2.3,28,125,25,26,49.0,VAN
8,Noah Juulsen,D,26,5,775000.0,29,0,2,2,-1,12,0,0,0,0,2,0,0,11,0.0,416.0,14:21,-0.3,0.5,0.2,47,67,0,0,,VAN
9,Andrei Kuzmenko,F,27,1,3500000.0,38,8,11,19,0,2,5,3,0,2,7,4,0,58,13.8,557.0,14:40,1.0,0.4,1.4,9,3,1,0,100.0,VAN
10,Sam Lafferty,F,28,4,1150000.0,44,10,9,19,15,26,9,0,1,3,9,0,0,46,21.7,558.0,12:41,1.2,0.9,2.2,26,61,77,132,36.8,VAN
11,Ilya Mikheyev,F,29,4,5350000.0,40,10,12,22,5,4,10,0,0,1,12,0,0,81,12.3,593.0,14:49,1.4,0.6,2.0,6,20,6,12,33.3,VAN
12,J.T. Miller,F,30,11,1000000.0,44,20,40,60,23,35,12,7,1,3,23,17,0,94,21.3,868.0,19:43,5.3,1.5,6.7,32,91,461,396,53.8,VAN
13,Tyler Myers,D,33,14,1000000.0,44,3,15,18,15,30,2,0,1,0,15,0,0,47,6.4,843.0,19:09,1.0,2.3,3.2,82,53,0,0,,VAN
14,Elias Pettersson,F,25,5,10250000.0,44,23,35,58,19,4,16,7,0,8,21,13,1,123,18.7,867.0,19:43,5.4,1.3,6.7,35,49,213,228,48.3,VAN
