,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,David Pastrnak,27.0,RW,44,29,35,64,8,35,19,10,0,4,18,17,0,223,13.0,883.0,20:05,6.7,1.3,8.0,9,31,3,8,27.3,6-1,195,R/-,9,8500000.0,BOS
1,Brad Marchand,35.0,LW,44,19,22,41,2,47,11,7,1,4,8,14,0,119,16.0,863.0,19:36,3.5,1.0,4.5,21,43,17,23,42.5,5-9,176,L/-,14,3000000.0,BOS
2,Charlie Coyle,31.0,C,44,15,19,34,5,22,11,4,0,2,18,0,1,91,16.5,792.0,18:00,2.6,1.1,3.7,32,50,415,402,50.8,6-3,223,R/-,11,4500000.0,BOS
3,Charlie McAvoy,26.0,D,36,6,23,29,5,49,5,1,0,2,13,10,0,70,8.6,888.0,24:41,2.3,2.3,4.6,73,52,0,0,,6-1,209,R/-,6,7750000.0,BOS
4,James van Riemsdyk,34.0,LW,40,7,20,27,4,8,2,5,0,3,14,6,0,87,8.0,550.0,13:45,1.8,0.8,2.6,11,13,6,7,46.2,6-3,208,L/-,14,1000000.0,BOS
5,Pavel Zacha,26.0,C,40,9,17,26,3,12,7,2,0,3,10,7,0,73,12.3,741.0,18:31,1.4,0.9,2.3,15,44,284,242,54.0,6-4,199,L/-,8,5750000.0,BOS
6,Trent Frederic,25.0,C,44,13,10,23,10,38,12,1,0,0,10,0,0,64,20.3,599.0,13:36,1.9,1.0,2.9,27,75,52,64,44.8,6-3,214,L/-,5,2050000.0,BOS
7,Jake DeBrusk,27.0,LW,43,10,12,22,12,12,7,2,1,2,7,5,0,95,10.5,726.0,16:53,1.1,1.3,2.4,24,40,4,13,23.5,6-0,197,L/-,6,4000000.0,BOS
8,Morgan Geekie,25.0,C,38,8,13,21,4,12,6,2,0,0,9,4,0,71,11.3,581.0,15:17,1.2,0.8,2.0,27,35,132,166,44.3,6-3,200,R/-,4,2000000.0,BOS
9,Matthew Poitras,19.0,C,30,5,10,15,4,6,5,0,0,1,9,1,0,38,13.2,413.0,13:46,0.8,0.6,1.4,15,12,106,135,44.0,5-11,180,R/-,0,775000.0,BOS
10,Hampus Lindholm,30.0,D,44,1,14,15,7,44,0,1,0,0,10,4,0,60,1.7,1053.0,23:56,0.3,2.8,3.0,64,15,0,0,,6-4,215,L/-,10,6000000.0,BOS
11,Danton Heinen,28.0,C,36,5,9,14,10,18,5,0,0,2,9,0,0,64,7.8,509.0,14:09,0.5,0.9,1.4,24,26,6,9,40.0,6-2,195,L/-,7,775000.0,BOS
12,Kevin Shattenkirk,35.0,D,38,5,7,12,-3,8,3,2,0,0,3,4,0,59,8.5,603.0,15:52,0.9,1.1,2.0,45,19,0,0,,6-0,212,R/-,13,1050000.0,BOS
13,John Beecher,22.0,C,39,5,2,7,-6,15,5,0,0,1,2,0,0,27,18.5,403.0,10:20,0.1,0.2,0.3,25,60,208,178,53.9,6-3,210,L/-,0,832500.0,BOS
14,Mason Lohrei,23.0,D,27,3,3,6,-4,14,3,0,0,0,3,0,0,34,8.8,443.0,16:24,0.3,0.7,1.0,47,21,0,0,,6-5,211,L/-,0,832500.0,BOS
15,Matt Grzelcyk,30.0,D,30,2,4,6,3,14,2,0,0,0,4,0,0,37,5.4,534.0,17:48,0.1,1.4,1.5,32,19,0,0,,5-10,176,L/-,7,4250000.0,BOS
16,Jakub Lauko,23.0,C,32,1,3,4,-4,20,1,0,0,0,3,0,0,20,5.0,297.0,9:17,-0.3,0.2,-0.1,9,62,4,4,50.0,6-0,196,L/-,1,775000.0,BOS
17,Parker Wotherspoon,26.0,D,17,0,3,3,3,9,0,0,0,0,3,0,0,11,0.0,295.0,17:20,-0.1,0.9,0.8,34,27,0,0,,6-1,190,L/-,1,775000.0,BOS
