,Player,Pos,Age,Ht,Wt,S/C,Exp,Salary,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Team
0,Mason Appleton,F,28,6-2,193,R/-,5,2250000.0,43,7,14,21,10,16,6,0,1,2,13,0,1,62,11.3,705.0,16:23,0.8,1.0,1.8,27,39,3,3,50.0,WPG
1,Morgan Barron,F,25,6-4,220,L/-,3,1300000.0,43,8,4,12,9,10,8,0,0,1,3,1,0,60,13.3,478.0,11:07,0.6,0.8,1.4,30,41,15,24,38.5,WPG
2,Laurent Brossoit,G,30,6-3,204,-/L,9,1750000.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,660.0,59:58,0.0,0.0,2.4,0,0,0,0,,WPG
3,Declan Chisholm,D,24,6-1,190,L/-,1,775000.0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,,23.0,11:33,0.1,0.1,0.2,2,0,0,0,,WPG
4,Kyle Connor,F,27,6-1,182,L/-,7,7500000.0,27,18,11,29,-3,2,15,3,0,5,4,7,0,108,16.7,544.0,20:08,3.1,0.4,3.5,10,3,1,2,33.3,WPG
5,Dylan DeMelo,D,30,6-0,191,R/-,8,3500000.0,43,1,13,14,28,20,1,0,0,0,12,1,0,34,2.9,933.0,21:42,0.3,3.7,4.0,78,73,0,0,,WPG
6,Brenden Dillon,D,33,6-4,220,L/-,12,2000000.0,43,6,9,15,16,51,6,0,0,2,9,0,0,40,15.0,807.0,18:45,1.0,2.6,3.6,64,110,0,0,,WPG
7,Nikolaj Ehlers,F,27,6-0,172,L/-,8,6500000.0,43,15,18,33,21,21,15,0,0,4,15,3,0,130,11.5,702.0,16:19,2.7,1.4,4.2,14,15,0,4,0.0,WPG
8,Connor Hellebuyck,G,30,6-4,207,-/L,8,7500000.0,32,0,0,0,0,2,0,0,0,0,0,0,0,0,,1921.0,60:01,0.0,0.0,7.4,0,0,0,0,,WPG
9,Alex Iafallo,F,30,6-0,200,L/-,6,4400000.0,43,7,10,17,3,2,5,2,0,1,6,3,1,76,9.2,712.0,16:34,0.4,0.8,1.1,39,16,5,10,33.3,WPG
10,Rasmus Kupari,F,23,6-2,200,R/-,3,900000.0,17,0,1,1,-4,4,0,0,0,0,1,0,0,24,0.0,156.0,9:12,-0.3,0.0,-0.3,6,10,52,62,45.6,WPG
11,Josh Morrissey,D,28,6-0,195,L/-,8,,43,7,26,33,24,30,6,1,0,1,19,7,0,114,6.1,1049.0,24:23,2.6,3.6,6.2,64,33,0,0,,WPG
12,Vladislav Namestnikov,F,31,6-0,179,L/-,10,2000000.0,40,5,18,23,18,8,2,2,1,0,17,1,0,51,9.8,619.0,15:28,1.0,1.2,2.2,24,32,128,206,38.3,WPG
13,Nino Niederreiter,F,31,6-2,218,L/-,12,4000000.0,43,12,12,24,13,14,9,3,0,2,11,1,0,99,12.1,663.0,15:26,1.7,1.1,2.8,23,57,15,14,51.7,WPG
14,Cole Perfetti,F,22,5-11,177,L/-,2,832500.0,43,14,16,30,15,6,9,5,0,2,10,6,0,97,14.4,622.0,14:28,2.5,1.1,3.7,11,7,35,62,36.1,WPG
15,Neal Pionk,D,28,6-0,186,R/-,6,7500000.0,43,4,13,17,11,34,3,1,0,0,10,3,0,81,4.9,877.0,20:24,0.9,2.4,3.3,51,97,0,0,,WPG
16,Dylan Samberg,D,25,6-3,190,L/-,2,1300000.0,43,0,11,11,15,33,0,0,0,0,10,0,1,42,0.0,647.0,15:02,0.3,2.3,2.5,67,23,0,0,,WPG
17,Nate Schmidt,D,32,6-0,194,L/-,10,4950000.0,37,1,6,7,6,6,1,0,0,1,3,3,0,42,2.4,627.0,16:56,0.0,1.6,1.5,49,29,0,0,,WPG
18,Logan Stanley,D,25,6-7,228,L/-,3,1000000.0,7,0,0,0,1,4,0,0,0,0,0,0,0,5,0.0,86.0,12:19,-0.1,0.2,0.1,9,7,0,0,,WPG
19,Dominic Toninato,F,29,6-2,201,L/-,6,775000.0,11,1,4,5,7,2,1,0,0,1,4,0,0,11,9.1,110.0,10:01,0.3,0.4,0.6,8,18,41,40,50.6,WPG
20,Gabriel Vilardi,F,24,6-3,215,R/-,4,3275000.0,25,11,9,20,18,6,9,2,0,3,8,1,0,69,15.9,424.0,16:57,1.8,1.1,2.9,11,6,20,22,47.6,WPG
0,Justus Annunen,G,23,6-4,210,-/L,2,775000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60.0,60:00,0.0,0.0,0.2,0,0,0,0,,COL
1,Andrew Cogliano,F,36,5-10,179,L/-,16,825000.0,39,4,7,11,7,10,3,0,1,0,5,0,2,29,13.8,431.0,11:03,0.3,0.7,0.9,16,11,33,65,33.7,COL
2,Ross Colton,F,27,6-0,194,L/-,3,4100000.0,43,10,10,20,0,43,8,2,0,1,9,1,0,80,12.5,586.0,13:37,1.3,0.6,1.9,25,62,220,205,51.8,COL
3,Jonathan Drouin,F,28,5-11,198,L/-,9,825000.0,43,10,15,25,-1,14,6,4,0,0,9,6,0,62,16.1,728.0,16:55,1.4,0.7,2.1,16,23,19,16,54.3,COL
4,Alexandar Georgiev,G,27,6-1,178,-/R,6,3700000.0,37,0,1,1,0,2,0,0,0,0,1,0,0,0,,2157.0,58:18,0.0,0.0,5.0,0,1,0,0,,COL
5,Samuel Girard,D,25,5-10,170,L/-,6,5000000.0,24,1,10,11,-2,2,1,0,0,0,9,1,0,29,3.4,480.0,20:01,0.6,0.7,1.3,46,31,0,0,,COL
6,Ryan Johansen,F,31,6-3,218,R/-,12,4000000.0,45,11,7,18,-4,30,7,4,0,3,4,2,1,60,18.3,631.0,14:01,1.1,0.5,1.5,10,27,335,278,54.6,COL
7,Jack Johnson,D,37,6-1,227,L/-,17,775000.0,45,2,7,9,7,34,2,0,0,0,7,0,0,47,4.3,664.0,14:46,0.2,1.7,1.9,53,33,0,0,,COL
8,Caleb Jones,D,26,6-1,194,L/-,5,775000.0,20,0,4,4,5,8,0,0,0,0,4,0,0,16,0.0,239.0,11:58,0.1,0.8,0.9,24,23,0,0,,COL
9,Joel Kiviranta,F,27,5-11,185,L/-,4,775000.0,30,2,4,6,-1,8,2,0,0,0,4,0,0,30,6.7,314.0,10:27,-0.1,0.3,0.2,17,39,2,3,40.0,COL
10,Artturi Lehkonen,F,28,5-11,179,L/-,7,5000000.0,12,3,5,8,-3,2,2,1,0,0,2,3,0,34,8.8,222.0,18:30,0.5,0.1,0.6,4,13,3,7,30.0,COL
11,Kurtis MacDermid,D,29,6-5,233,L/-,6,1000000.0,22,2,0,2,2,17,2,0,0,1,0,0,0,8,25.0,105.0,4:47,0.3,0.3,0.6,6,34,2,0,100.0,COL
12,Nathan MacKinnon,F,28,6-0,200,R/-,10,775000.0,45,23,49,72,11,28,18,5,0,5,25,24,0,203,11.3,1041.0,23:09,6.3,1.4,7.8,39,31,349,379,47.9,COL
13,Cale Makar,D,25,5-11,187,R/-,4,11000000.0,40,10,42,52,10,12,6,4,0,0,20,19,3,122,8.2,996.0,24:54,4.8,2.5,7.3,71,19,0,0,,COL
14,Sam Malinski,D,25,5-11,190,R/-,0,775000.0,19,3,5,8,3,6,2,1,0,1,4,1,0,23,13.0,272.0,14:19,0.7,0.7,1.4,18,11,0,0,,COL
15,Josh Manson,D,32,6-3,218,R/-,9,5000000.0,40,5,8,13,3,48,4,0,1,0,7,0,1,64,7.8,703.0,17:34,0.9,1.5,2.3,57,93,0,1,0.0,COL
16,Logan O'Connor,F,27,6-0,175,R/-,5,1000000.0,43,8,11,19,13,28,5,0,3,3,11,0,0,62,12.9,633.0,14:44,0.9,1.1,2.0,29,33,21,23,47.7,COL
17,Fredrik Olofsson,F,27,6-2,190,L/-,1,775000.0,43,3,6,9,0,8,3,0,0,1,6,0,0,35,8.6,439.0,10:12,-0.1,0.4,0.4,24,26,120,199,37.6,COL
18,Jason Polin,F,24,6-0,198,R/-,0,775000.0,5,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,38.0,7:33,0.1,0.1,0.2,1,10,1,1,50.0,COL
19,Ivan Prosvetov,G,24,6-5,175,-/L,3,775000.0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,494.0,44:56,0.0,0.0,1.2,0,0,0,0,,COL
20,Mikko Rantanen,F,27,6-4,215,L/-,8,9500000.0,45,24,34,58,2,22,15,9,0,5,16,18,0,158,15.2,1048.0,23:18,5.1,1.1,6.2,26,27,150,139,51.9,COL
21,Devon Toews,D,29,6-1,191,L/-,5,5900000.0,45,8,19,27,11,10,8,0,0,1,12,5,2,84,9.5,1093.0,24:18,2.0,2.7,4.8,69,38,0,0,,COL
22,Miles Wood,F,28,6-2,195,L/-,8,3250000.0,40,7,7,14,-1,57,6,0,1,1,7,0,0,83,8.4,524.0,13:06,0.6,0.5,1.1,18,45,8,15,34.8,COL
0,Evgenii Dadonov,F,34,5-11,189,L/-,9,,41,10,10,20,-5,6,9,1,0,3,9,1,0,54,18.5,553.0,13:29,1.4,0.3,1.7,18,16,0,3,0.0,DAL
1,Ty Dellandrea,F,23,6-1,195,R/-,3,900000.0,19,1,1,2,-8,8,1,0,0,0,1,0,0,15,6.7,228.0,12:01,-0.3,-0.1,-0.4,6,27,48,64,42.9,DAL
2,Matt Duchene,F,33,5-11,195,L/-,14,3000000.0,42,14,25,39,13,8,11,3,0,6,19,6,0,93,15.1,720.0,17:09,3.1,1.1,4.3,35,15,166,125,57.0,DAL
3,Radek Faksa,F,30,6-3,225,L/-,8,4000000.0,36,3,6,9,2,12,1,0,2,0,4,0,2,31,9.7,463.0,12:52,-0.1,0.5,0.4,20,26,153,128,54.4,DAL
