,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,Artemi Panarin,32.0,LW,43,27,33,60,-1,12,19,8,0,2,15,18,0,178,15.2,866.0,20:09,6.0,1.1,7.0,6,3,1,7,12.5,6-0,173,R/-,8,1000000.0,NYR
1,Vincent Trocheck,30.0,C,43,14,29,43,2,37,6,8,0,3,21,8,0,110,12.7,905.0,21:03,3.0,1.2,4.2,39,61,481,293,62.1,5-11,184,R/-,10,3500000.0,NYR
2,Mika Zibanejad,30.0,C,42,14,27,41,7,24,7,6,1,1,12,14,1,105,13.3,816.0,19:25,3.0,1.3,4.3,33,13,295,270,52.2,6-2,202,R/-,12,1000000.0,NYR
3,Chris Kreider,32.0,LW,43,20,18,38,9,16,9,9,2,5,13,4,1,123,16.3,802.0,18:39,3.3,1.4,4.7,11,38,19,32,37.3,6-3,230,L/-,11,3000000.0,NYR
4,Adam Fox,25.0,D,33,7,23,30,1,14,4,3,0,1,8,15,0,56,12.5,751.0,22:46,2.6,1.9,4.5,48,12,0,0,,5-11,182,R/-,4,12000000.0,NYR
5,Alexis Lafreniere,22.0,LW,43,11,15,26,-7,14,9,2,0,3,13,2,0,113,9.7,744.0,17:18,1.5,0.7,2.2,11,25,10,31,24.4,6-1,195,L/-,3,1650000.0,NYR
6,Erik Gustafsson,31.0,D,43,4,17,21,1,19,4,0,0,0,9,8,0,61,6.6,745.0,17:19,1.5,1.9,3.3,40,28,0,0,,6-0,197,L/-,7,825000.0,NYR
7,Blake Wheeler,37.0,RW,43,7,10,17,-3,21,6,1,0,1,10,0,0,63,11.1,545.0,12:40,0.8,0.6,1.4,27,20,35,19,64.8,6-5,225,R/-,15,800000.0,NYR
8,Jacob Trouba,29.0,D,43,3,14,17,5,37,3,0,0,0,13,0,1,78,3.8,943.0,21:56,0.7,2.6,3.4,134,102,0,0,,6-3,203,R/-,10,8000000.0,NYR
9,K'Andre Miller,24.0,D,41,7,9,16,6,24,7,0,0,3,8,0,1,49,14.3,903.0,22:02,1.1,2.6,3.7,53,54,0,0,,6-5,215,L/-,3,2748000.0,NYR
