,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,J.T. Miller,30.0,C,45,20,41,61,23,35,12,7,1,3,23,18,0,94,21.3,889.0,19:46,5.3,1.5,6.8,32,91,478,398,54.6,6-1,218,L/-,11,1000000.0,VAN
1,Elias Pettersson,25.0,C,45,24,35,59,19,4,16,8,0,8,21,13,1,124,19.4,890.0,19:46,5.5,1.4,6.9,35,49,215,228,48.5,6-2,176,L/-,5,10250000.0,VAN
2,Elias Pettersson,25.0,C,45,24,35,59,19,4,16,8,0,8,21,13,1,124,19.4,890.0,19:46,5.5,1.4,6.9,35,49,215,228,48.5,6-2,176,L/-,5,775000.0,VAN
3,Quinn Hughes,24.0,D,45,11,42,53,33,20,10,1,0,2,24,18,0,109,10.1,1099.0,24:26,4.8,4.0,8.8,35,16,0,0,,5-10,180,L/-,5,8600000.0,VAN
4,Brock Boeser,26.0,RW,45,27,19,46,21,4,17,10,0,3,16,3,0,124,21.8,848.0,18:51,4.6,1.4,6.1,14,19,6,9,40.0,6-1,208,R/-,7,6650000.0,VAN
5,Filip Hronek,26.0,D,45,3,33,36,32,26,1,2,0,0,26,7,0,87,3.4,1062.0,23:36,2.4,3.9,6.3,42,35,0,0,,6-0,190,R/-,5,5500000.0,VAN
6,Dakota Joshua,27.0,C,44,12,10,22,14,39,12,0,0,4,10,0,0,52,23.1,603.0,13:42,1.6,1.0,2.6,28,130,26,27,49.1,6-3,206,L/-,3,850000.0,VAN
7,Ilya Mikheyev,29.0,F,41,10,12,22,4,4,10,0,0,1,12,0,0,82,12.2,605.0,14:46,1.4,0.6,2.0,7,20,6,12,33.3,6-3,192,L/-,4,5350000.0,VAN
8,Conor Garland,27.0,RW,45,6,15,21,12,8,6,0,0,0,14,1,0,99,6.1,618.0,13:43,0.9,0.9,1.8,15,14,0,1,0.0,5-10,165,R/-,5,6000000.0,VAN
9,Sam Lafferty,28.0,C,45,10,9,19,15,26,9,0,1,3,9,0,0,48,20.8,570.0,12:40,1.2,1.0,2.2,26,65,81,135,37.5,6-1,195,R/-,4,1150000.0,VAN
10,Andrei Kuzmenko,27.0,F,39,8,11,19,-1,2,5,3,0,2,7,4,0,60,13.3,569.0,14:35,1.0,0.4,1.4,9,3,1,0,100.0,5-11,194,R/-,1,3500000.0,VAN
11,Teddy Blueger,29.0,C,31,5,14,19,9,11,4,0,1,0,13,0,1,46,10.9,476.0,15:22,1.0,0.7,1.7,19,25,223,208,51.7,6-0,185,L/-,5,1650000.0,VAN
12,Nils Hoglander,23.0,LW,43,12,6,18,12,33,12,0,0,3,6,0,0,56,21.4,478.0,11:06,1.6,0.8,2.4,14,38,0,0,,5-9,185,L/-,3,1000000.0,VAN
13,Tyler Myers,33.0,D,45,3,15,18,16,34,2,0,1,0,15,0,0,47,6.4,860.0,19:07,0.9,2.4,3.4,83,54,0,0,,6-8,229,R/-,14,1000000.0,VAN
14,Pius Suter,27.0,F,31,8,4,12,12,4,7,1,0,1,4,0,0,48,16.7,480.0,15:29,0.6,0.8,1.4,9,19,143,142,50.2,5-11,179,L/-,3,1600000.0,VAN
