,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV.1,PP.1,SH.1,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Team,specific_pos,Cap%,Salary
0,Artemi Panarin,32.0,LW,43.0,27.0,33.0,60.0,-1.0,12.0,19.0,8.0,0.0,2.0,15.0,18.0,0.0,178.0,15.2,866.0,20:09,6.0,1.1,7.0,6.0,3.0,1.0,7.0,12.5,6-0,173.0,R/-,8.0,NYR,LW,13.9,11642857.0
1,Vincent Trocheck,30.0,C,43.0,14.0,29.0,43.0,2.0,37.0,6.0,8.0,0.0,3.0,21.0,8.0,0.0,110.0,12.7,905.0,21:03,3.0,1.2,4.2,39.0,61.0,481.0,293.0,62.1,5-11,184.0,R/-,10.0,NYR,"C, RW",6.7,5625000.0
2,Mika Zibanejad,30.0,C,42.0,14.0,27.0,41.0,7.0,24.0,7.0,6.0,1.0,1.0,12.0,14.0,1.0,105.0,13.3,816.0,19:25,3.0,1.3,4.3,33.0,13.0,295.0,270.0,52.2,6-2,202.0,R/-,12.0,NYR,C,10.2,8500000.0
3,Chris Kreider,32.0,LW,43.0,20.0,18.0,38.0,9.0,16.0,9.0,9.0,2.0,5.0,13.0,4.0,1.0,123.0,16.3,802.0,18:39,3.3,1.4,4.7,11.0,38.0,19.0,32.0,37.3,6-3,230.0,L/-,11.0,NYR,LW,7.8,6500000.0
4,Adam Fox,25.0,D,33.0,7.0,23.0,30.0,1.0,14.0,4.0,3.0,0.0,1.0,8.0,15.0,0.0,56.0,12.5,751.0,22:46,2.6,1.9,4.5,48.0,12.0,0.0,0.0,,5-11,182.0,R/-,4.0,NYR,RD,11.4,9500000.0
5,Alexis Lafreniere,22.0,LW,43.0,11.0,15.0,26.0,-7.0,14.0,9.0,2.0,0.0,3.0,13.0,2.0,0.0,113.0,9.7,744.0,17:18,1.5,0.7,2.2,11.0,25.0,10.0,31.0,24.4,6-1,195.0,L/-,3.0,NYR,"LW, RW",2.8,2325000.0
6,Erik Gustafsson,31.0,D,43.0,4.0,17.0,21.0,1.0,19.0,4.0,0.0,0.0,0.0,9.0,8.0,0.0,61.0,6.6,745.0,17:19,1.5,1.9,3.3,40.0,28.0,0.0,0.0,,6-0,197.0,L/-,7.0,NYR,LD,1.0,825000.0
7,Blake Wheeler,37.0,RW,43.0,7.0,10.0,17.0,-3.0,21.0,6.0,1.0,0.0,1.0,10.0,0.0,0.0,63.0,11.1,545.0,12:40,0.8,0.6,1.4,27.0,20.0,35.0,19.0,64.8,6-5,225.0,R/-,15.0,NYR,RW,1.0,800000.0
8,Jacob Trouba,29.0,D,43.0,3.0,14.0,17.0,5.0,37.0,3.0,0.0,0.0,0.0,13.0,0.0,1.0,78.0,3.8,943.0,21:56,0.7,2.6,3.4,134.0,102.0,0.0,0.0,,6-3,203.0,R/-,10.0,NYR,RD,9.6,8000000.0
9,K'Andre Miller,24.0,D,41.0,7.0,9.0,16.0,6.0,24.0,7.0,0.0,0.0,3.0,8.0,0.0,1.0,49.0,14.3,903.0,22:02,1.1,2.6,3.7,53.0,54.0,0.0,0.0,,6-5,215.0,L/-,3.0,NYR,LD,4.6,3872000.0
