,Team,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,GF/G,GA/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO,SO
0,Boston Bruins,28.3,48,30,9,9,69,0.719,165,125,0.72,-0.13,3.44,2.6,39,147,26.53,31,177,82.49,3,2,1458,11.3,1507,0.917,102.7,3
1,League Average,28.4,47,24,19,5,52,0.554,146,146,,,,,31,149,20.49,31,149,79.51,5,5,1446,10.1,1446,0.899,,2
2,Florida Panthers,29.2,48,30,14,4,64,0.667,154,124,0.6,-0.03,3.21,2.58,37,160,23.13,29,167,82.63,4,8,1645,9.4,1313,0.906,100.0,2
3,Toronto Maple Leafs,28.9,46,24,14,8,56,0.609,158,147,0.25,-0.05,3.43,3.2,32,135,23.7,30,129,76.74,5,6,1525,10.4,1407,0.896,100.0,4
4,Detroit Red Wings,28.9,48,25,18,5,55,0.573,167,156,0.26,-0.01,3.48,3.25,41,182,22.53,30,155,80.65,6,7,1390,12.0,1559,0.9,101.7,3
5,Tampa Bay Lightning,28.9,49,26,18,5,57,0.582,168,161,0.22,0.05,3.43,3.29,47,154,30.52,25,131,80.92,2,4,1467,11.5,1468,0.89,99.3,3
6,Montreal Canadiens,26.6,48,20,21,7,47,0.49,130,168,-0.79,0.0,2.71,3.5,31,160,19.38,45,168,73.21,4,7,1347,9.7,1632,0.897,100.4,0
7,Buffalo Sabres,25.6,48,21,23,4,46,0.479,141,152,-0.3,-0.05,2.94,3.17,20,140,14.29,30,148,79.73,3,8,1497,9.4,1409,0.892,99.4,3
8,Ottawa Senators,27.0,44,18,24,2,38,0.432,148,158,-0.12,0.09,3.36,3.59,26,165,15.76,39,145,73.1,3,4,1445,10.2,1346,0.883,99.7,1
9,New York Rangers,29.2,48,29,16,3,61,0.635,153,138,0.24,-0.05,3.19,2.88,41,148,27.7,23,138,83.33,3,5,1505,10.2,1361,0.899,98.8,2
10,Philadelphia Flyers,27.0,49,25,18,6,56,0.571,141,140,0.1,0.04,2.88,2.86,21,155,13.55,22,153,85.62,10,3,1649,8.6,1385,0.899,98.8,4
11,Carolina Hurricanes,29.3,47,27,15,5,59,0.628,159,140,0.33,-0.03,3.38,2.98,44,159,27.67,24,151,84.11,7,8,1558,10.2,1190,0.882,98.5,2
12,Pittsburgh Penguins,31.2,45,21,17,7,49,0.544,133,122,0.2,-0.05,2.96,2.71,20,151,13.25,25,137,81.75,2,5,1501,8.9,1369,0.911,100.4,7
13,Washington Capitals,30.0,46,22,18,6,50,0.543,108,137,-0.78,-0.13,2.35,2.98,18,129,13.95,28,141,80.14,2,4,1256,8.6,1404,0.902,99.1,3
14,New York Islanders,29.2,48,20,17,11,51,0.531,140,160,-0.45,0.01,2.92,3.33,31,134,23.13,40,148,72.97,9,2,1445,9.7,1672,0.904,100.4,4
15,New Jersey Devils,26.5,46,24,19,3,51,0.554,158,161,-0.15,-0.06,3.43,3.5,36,139,25.9,32,145,77.93,2,6,1437,11.0,1356,0.881,99.3,0
16,Columbus Blue Jackets,26.5,47,15,23,9,39,0.415,139,174,-0.7,0.03,2.96,3.7,20,136,14.71,27,133,79.7,1,3,1392,10.0,1586,0.89,100.0,0
17,Winnipeg Jets,29.1,46,30,11,5,65,0.707,146,104,0.83,-0.06,3.17,2.26,23,143,16.08,29,134,78.36,3,3,1426,10.2,1333,0.922,102.6,2
18,Colorado Avalanche,28.5,49,32,14,3,67,0.684,188,152,0.65,-0.11,3.84,3.1,47,183,25.68,30,168,82.14,7,6,1567,12.0,1427,0.893,100.2,2
19,Dallas Stars,29.4,48,29,13,6,64,0.667,176,146,0.65,0.01,3.67,3.04,30,135,22.22,25,150,83.33,11,3,1473,11.9,1447,0.899,100.7,2
20,Nashville Predators,29.0,48,26,21,1,53,0.552,145,148,0.03,0.05,3.02,3.08,33,167,19.76,36,155,76.77,6,4,1475,9.8,1449,0.898,99.8,2
21,Arizona Coyotes,26.8,47,23,21,3,49,0.521,140,144,-0.05,-0.01,2.98,3.06,33,147,22.45,32,154,79.22,3,6,1271,11.0,1483,0.903,101.0,6
