,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,David Pastrnak,27.0,RW,49,33,39,72,16,39,22,11,0,4,22,17,0,248,13.3,976.0,19:55,7.6,1.5,9.2,13,35,4,9,30.8,6-1,195,R/-,9,8500000.0,BOS
1,Brad Marchand,35.0,LW,49,24,23,47,9,51,16,7,1,5,9,14,0,131,18.3,957.0,19:32,4.3,1.3,5.6,22,49,19,23,45.2,5-9,176,L/-,14,3000000.0,BOS
2,Charlie Coyle,31.0,C,49,18,24,42,12,26,14,4,0,4,22,1,1,100,18.0,884.0,18:02,3.5,1.3,4.8,34,55,454,438,50.9,6-3,223,R/-,11,4500000.0,BOS
3,Charlie McAvoy,26.0,D,41,7,26,33,13,55,6,1,0,2,15,11,0,78,9.0,1007.0,24:33,2.7,2.8,5.5,85,55,0,0,,6-1,209,R/-,6,7750000.0,BOS
4,James van Riemsdyk,34.0,LW,45,8,24,32,8,8,3,5,0,3,18,6,0,101,7.9,622.0,13:49,2.2,0.9,3.1,12,13,6,7,46.2,6-3,208,L/-,14,1000000.0,BOS
5,Pavel Zacha,26.0,C,45,10,20,30,8,12,8,2,0,3,13,7,0,83,12.0,822.0,18:15,1.7,1.1,2.8,16,47,317,276,53.5,6-4,199,L/-,8,5750000.0,BOS
6,Trent Frederic,25.0,C,49,14,15,29,17,45,13,1,0,0,15,0,0,72,19.4,673.0,13:45,2.4,1.3,3.6,32,84,64,74,46.4,6-3,214,L/-,5,2050000.0,BOS
7,Jake DeBrusk,27.0,LW,47,12,13,25,13,12,8,2,2,2,8,5,0,100,12.0,785.0,16:42,1.5,1.2,2.7,26,42,5,13,27.8,6-0,197,L/-,6,4000000.0,BOS
8,Morgan Geekie,25.0,C,43,8,15,23,10,16,6,2,0,0,10,5,0,74,10.8,662.0,15:24,1.2,1.0,2.2,32,49,157,198,44.2,6-3,200,R/-,4,2000000.0,BOS
9,Hampus Lindholm,30.0,D,49,1,18,19,17,48,0,1,0,0,14,4,0,62,1.6,1169.0,23:51,0.5,3.4,3.9,69,21,0,0,,6-4,215,L/-,10,6000000.0,BOS
10,Danton Heinen,28.0,C,41,9,9,18,12,18,8,1,0,3,9,0,0,75,12.0,580.0,14:08,1.1,1.0,2.1,28,29,9,10,47.4,6-2,195,L/-,7,775000.0,BOS
11,Matthew Poitras,19.0,C,33,5,10,15,4,6,5,0,0,1,9,1,0,40,12.5,442.0,13:24,0.7,0.6,1.3,15,15,111,143,43.7,5-11,180,R/-,0,775000.0,BOS
12,Kevin Shattenkirk,35.0,D,41,5,8,13,-4,12,3,2,0,0,3,5,0,61,8.2,651.0,15:52,1.0,0.9,1.9,53,23,0,0,,6-0,212,R/-,13,1050000.0,BOS
13,Brandon Carlo,27.0,D,44,3,10,13,23,24,3,0,0,1,10,0,0,49,6.1,890.0,20:13,0.5,3.3,3.8,78,61,0,0,,6-6,218,R/-,7,4700000.0,BOS
14,Matt Grzelcyk,30.0,D,35,2,5,7,6,16,2,0,0,0,5,0,0,38,5.3,621.0,17:45,0.1,1.6,1.7,38,21,0,0,,5-10,176,L/-,7,4250000.0,BOS
15,Jakub Lauko,23.0,C,36,2,4,6,-4,20,2,0,0,0,4,0,0,22,9.1,340.0,9:26,-0.2,0.2,0.0,9,73,4,6,40.0,6-0,196,L/-,1,775000.0,BOS
16,Derek Forbort,31.0,D,24,0,4,4,12,17,0,0,0,0,4,0,0,15,0.0,433.0,18:04,-0.1,1.7,1.5,44,38,0,0,,6-4,208,L/-,8,3500000.0,BOS
17,Jesper Boqvist,25.0,C,14,1,2,3,6,4,1,0,0,0,2,0,0,17,5.9,148.0,10:34,0.0,0.4,0.3,5,15,16,18,47.1,6-1,184,L/-,4,775000.0,BOS
18,Parker Wotherspoon,26.0,D,20,0,3,3,3,13,0,0,0,0,3,0,0,14,0.0,347.0,17:20,-0.1,0.9,0.7,40,34,0,0,,6-1,190,L/-,1,775000.0,BOS
19,Oskar Steen,25.0,C,30,1,0,1,-2,4,1,0,0,0,0,0,0,22,4.5,271.0,9:03,-0.6,0.2,-0.4,18,53,0,3,0.0,5-9,199,R/-,3,800000.0,BOS
20,Jeremy Swayman,25.0,G,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1542.0,57:06,0.0,0.0,6.2,0,0,0,0,,6-2,194,-/L,3,3475000.0,BOS
21,Linus Ullmark,30.0,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,1423.0,59:18,0.0,0.0,5.2,0,0,0,0,,6-5,212,-/L,8,5000000.0,BOS
0,Sam Reinhart,28.0,C,49,37,25,62,13,21,13,20,4,9,21,4,0,134,27.6,995.0,20:18,6.9,1.7,8.6,43,23,163,197,45.3,6-2,193,R/-,9,4500000.0,FLA
1,Matthew Tkachuk,26.0,LW,49,16,35,51,9,48,14,2,0,1,18,17,0,181,8.8,931.0,19:00,3.9,1.5,5.4,16,60,3,5,37.5,6-2,201,L/-,7,1000000.0,FLA
2,Carter Verhaeghe,28.0,C,49,24,26,50,13,22,18,6,0,5,21,5,0,160,15.0,875.0,17:52,4.8,1.6,6.4,15,27,23,35,39.7,6-2,180,L/-,4,4500000.0,FLA
3,Aleksander Barkov,28.0,C,43,11,37,48,18,18,10,1,0,2,20,16,1,124,8.9,830.0,19:18,3.4,1.7,5.1,32,42,354,276,56.2,6-3,215,L/-,10,1000000.0,FLA
4,Evan Rodrigues,30.0,C,49,8,21,29,16,18,6,2,0,1,16,5,0,112,7.1,777.0,15:51,1.4,1.6,3.0,17,41,22,17,56.4,5-11,184,R/-,8,775000.0,FLA
5,Oliver Ekman-Larsson,32.0,D,49,9,16,25,-4,44,8,1,0,3,6,10,0,80,11.3,923.0,18:50,2.2,1.9,4.0,49,38,0,0,,6-2,200,L/-,13,775000.0,FLA
6,Sam Bennett,27.0,C,37,11,12,23,6,65,7,4,0,2,7,5,0,88,12.5,622.0,16:49,1.6,1.0,2.6,15,60,220,253,46.5,6-1,195,L/-,9,6350000.0,FLA
7,Gustav Forsling,27.0,D,48,7,14,21,31,35,6,1,0,0,14,0,0,105,6.7,1067.0,22:14,1.4,4.8,6.2,69,52,0,0,,6-0,186,L/-,6,3500000.0,FLA
8,Anton Lundell,22.0,C,45,4,14,18,7,20,4,0,0,0,11,2,1,96,4.2,700.0,15:34,0.2,1.1,1.3,18,14,275,239,53.5,6-1,185,L/-,2,832500.0,FLA
9,Eetu Luostarinen,25.0,C,49,8,5,13,-7,12,6,2,0,2,5,0,0,70,11.4,797.0,16:15,-0.2,0.8,0.6,34,56,77,68,53.1,6-3,190,L/-,4,1500000.0,FLA
10,Niko Mikkola,27.0,D,49,3,10,13,9,20,3,0,0,0,9,0,1,60,5.0,985.0,20:06,0.3,3.0,3.3,81,89,0,0,,6-4,209,L/-,4,2500000.0,FLA
11,Aaron Ekblad,27.0,D,32,2,11,13,18,42,2,0,0,0,8,3,0,65,3.1,685.0,21:25,0.6,2.9,3.5,40,36,0,0,,6-4,215,R/-,9,4000000.0,FLA
12,Kevin Stenlund,27.0,C,49,8,3,11,-6,42,8,0,0,2,3,0,0,50,16.0,626.0,12:46,0.1,0.6,0.7,30,38,284,240,54.2,6-4,211,R/-,5,1000000.0,FLA
13,Brandon Montour,29.0,D,33,2,9,11,-2,10,2,0,0,1,2,7,0,83,2.4,768.0,23:17,0.3,1.7,2.0,31,30,0,0,,6-0,194,R/-,7,775000.0,FLA
14,Dmitry Kulikov,33.0,D,45,0,11,11,2,32,0,0,0,0,9,0,2,48,0.0,748.0,16:38,0.1,1.9,2.0,56,55,0,0,,6-1,201,L/-,14,1000000.0,FLA
15,Josh Mahura,25.0,D,19,0,5,5,-4,8,0,0,0,0,5,0,0,16,0.0,239.0,12:36,0.2,0.3,0.5,13,16,0,0,,6-0,185,L/-,5,925000.0,FLA
16,Ryan Lomberg,29.0,LW,49,2,1,3,0,40,2,0,0,0,1,0,0,51,3.9,468.0,9:33,-0.8,0.6,-0.2,11,74,3,8,27.3,5-9,187,L/-,5,825000.0,FLA
17,Jonah Gadjovich,25.0,LW,21,1,2,3,0,68,1,0,0,0,2,0,0,18,5.6,143.0,6:49,0.0,0.2,0.2,6,25,0,0,,6-2,209,L/-,3,810000.0,FLA
18,Steven Lorentz,27.0,C,28,1,2,3,-7,6,1,0,0,1,2,0,0,22,4.5,239.0,8:32,-0.3,0.0,-0.2,10,33,47,50,48.5,6-4,206,L/-,3,1150000.0,FLA
19,Sergei Bobrovsky,35.0,G,36,0,2,2,0,4,0,0,0,0,0,2,0,0,,2105.0,58:28,0.0,0.0,6.3,0,0,0,0,,6-2,182,-/L,13,5000000.0,FLA
20,William Lockwood,25.0,RW,23,0,1,1,2,14,0,0,0,0,1,0,0,18,0.0,193.0,8:22,-0.4,0.3,-0.1,7,42,3,4,42.9,5-11,172,R/-,3,775000.0,FLA
21,Anthony Stolarz,30.0,G,15,0,1,1,0,2,0,0,0,0,1,0,0,0,,825.0,55:00,0.0,0.0,2.5,0,0,0,0,,6-6,243,-/L,6,1100000.0,FLA
0,William Nylander,27.0,C,47,23,38,61,3,12,15,6,2,3,21,16,1,197,11.7,948.0,20:10,5.6,1.0,6.6,14,18,15,26,36.6,6-0,204,R/-,8,2500000.0,TOR
1,Auston Matthews,26.0,C,46,40,18,58,14,4,30,10,0,5,11,6,1,198,20.2,977.0,21:14,6.9,1.4,8.3,56,42,400,355,53.0,6-3,208,L/-,7,775000.0,TOR
2,Morgan Rielly,29.0,D,47,7,33,40,0,8,6,1,0,0,20,13,0,123,5.7,1143.0,24:19,3.2,2.0,5.2,92,38,0,0,,6-1,222,L/-,10,5000000.0,TOR
3,John Tavares,33.0,C,47,13,22,35,-2,10,8,5,0,4,16,6,0,174,7.5,860.0,18:18,2.3,0.7,3.0,25,52,508,313,61.9,6-1,216,L/-,14,910000.0,TOR
4,Max Domi,28.0,LW,47,4,20,24,1,60,3,1,0,0,19,1,0,65,6.2,603.0,12:50,1.1,0.6,1.7,10,30,146,134,52.1,5-10,194,L/-,8,3000000.0,TOR
5,Tyler Bertuzzi,28.0,LW,46,6,14,20,6,22,4,2,0,0,13,1,0,86,7.0,720.0,15:39,0.5,0.9,1.4,24,40,3,9,25.0,6-1,186,L/-,7,775000.0,TOR
6,Calle Jarnkrok,32.0,C,46,10,9,19,13,16,9,0,1,3,7,1,1,85,11.8,704.0,15:18,0.9,1.1,2.0,13,34,62,64,49.2,6-0,192,R/-,10,775000.0,TOR
7,Matthew Knies,21.0,LW,45,8,9,17,3,23,8,0,0,1,7,2,0,58,13.8,640.0,14:14,0.7,0.7,1.4,15,79,0,1,0.0,6-2,210,L/-,1,832500.0,TOR
8,Jake McCabe,30.0,D,41,4,13,17,4,32,3,1,0,0,11,1,1,45,8.9,833.0,20:19,1.0,1.8,2.8,69,90,0,0,,6-1,204,L/-,10,2000000.0,TOR
9,Nicholas Robertson,22.0,LW,29,7,7,14,2,2,6,1,0,1,6,1,0,46,15.2,318.0,10:57,1.2,0.4,1.5,12,15,0,0,,5-9,178,L/-,3,775000.0,TOR
10,T.J. Brodie,33.0,D,46,0,11,11,8,24,0,0,0,0,11,0,0,25,0.0,998.0,21:42,-0.2,2.4,2.2,98,22,0,0,,6-2,187,L/-,13,,TOR
11,Noah Gregor,25.0,C,46,5,5,10,-8,13,3,1,1,1,5,0,0,76,6.6,518.0,11:15,0.0,0.2,0.2,20,81,13,8,61.9,6-0,190,L/-,4,775000.0,TOR
12,Timothy Liljegren,24.0,D,30,2,7,9,3,8,2,0,0,0,4,2,1,30,6.7,575.0,19:09,0.4,1.2,1.6,67,32,0,0,,6-1,192,R/-,4,1500000.0,TOR
13,David Kampf,29.0,C,46,4,4,8,-9,14,4,0,0,1,4,0,0,47,8.5,602.0,13:06,-0.5,0.2,-0.3,16,40,263,249,51.4,6-2,197,L/-,6,1050000.0,TOR
14,Pontus Holmberg,24.0,RW,21,2,6,8,4,8,2,0,0,0,6,0,0,26,7.7,225.0,10:44,0.4,0.4,0.7,12,13,24,28,46.2,6-0,188,L/-,1,775000.0,TOR
15,Mark Giordano,40.0,D,32,1,5,6,7,31,1,0,0,0,5,0,0,40,2.5,549.0,17:10,0.0,1.5,1.5,67,31,0,0,,6-0,205,L/-,17,800000.0,TOR
16,Conor Timmins,25.0,D,16,1,5,6,5,8,1,0,0,0,3,2,0,14,7.1,252.0,15:45,0.4,0.8,1.2,17,16,0,0,,6-2,202,R/-,4,1100000.0,TOR
17,William Lagesson,27.0,D,21,0,3,3,1,19,0,0,0,0,3,0,0,9,0.0,316.0,15:02,-0.1,0.6,0.5,32,33,0,0,,6-2,211,L/-,3,775000.0,TOR
18,Ryan Reaves,37.0,RW,22,2,0,2,-11,18,2,0,0,0,0,0,0,11,18.2,164.0,7:26,-0.1,-0.2,-0.3,3,47,1,0,100.0,6-2,225,R/-,13,1350000.0,TOR
19,Simon Benoit,25.0,D,33,1,1,2,2,28,1,0,0,0,1,0,0,32,3.1,520.0,15:45,-0.4,1.1,0.7,51,92,0,0,,6-3,203,L/-,3,775000.0,TOR
20,Martin Jones,34.0,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,930.0,54:44,0.0,0.0,3.0,0,0,0,0,,6-5,203,-/L,10,775000.0,TOR
