,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,Artemi Panarin,32.0,LW,48,29,34,63,-4,14,20,9,0,3,15,19,0,192,15.1,972.0,20:15,6.1,1.2,7.3,6,4,1,7,12.5,6-0,173,R/-,8,1000000.0,NYR
1,Vincent Trocheck,30.0,C,48,15,30,45,-2,41,6,9,0,3,22,8,0,118,12.7,1011.0,21:03,3.0,1.3,4.3,44,65,538,333,61.8,5-11,184,R/-,10,3500000.0,NYR
2,Mika Zibanejad,30.0,C,47,15,29,44,7,26,7,7,1,1,14,14,1,116,12.9,919.0,19:33,3.1,1.5,4.6,34,18,330,310,51.6,6-2,202,R/-,12,1000000.0,NYR
3,Chris Kreider,32.0,LW,48,22,21,43,11,18,11,9,2,5,13,7,1,138,15.9,896.0,18:40,3.8,1.6,5.4,11,45,22,35,38.6,6-3,230,L/-,11,3000000.0,NYR
4,Adam Fox,25.0,D,38,8,28,36,2,18,5,3,0,1,11,17,0,65,12.3,877.0,23:05,3.1,2.4,5.5,56,13,0,0,,5-11,182,R/-,4,12000000.0,NYR
5,Alexis Lafreniere,22.0,LW,48,11,16,27,-11,14,9,2,0,3,14,2,0,123,8.9,834.0,17:22,1.3,0.7,2.1,11,31,11,34,24.4,6-1,195,L/-,3,1650000.0,NYR
6,Erik Gustafsson,31.0,D,47,4,18,22,-1,19,4,0,0,0,10,8,0,67,6.0,811.0,17:15,1.5,2.0,3.5,45,31,0,0,,6-0,197,L/-,7,825000.0,NYR
7,Blake Wheeler,37.0,RW,48,8,11,19,-1,21,7,1,0,1,11,0,0,69,11.6,611.0,12:43,0.9,0.8,1.7,29,21,36,21,63.2,6-5,225,R/-,15,800000.0,NYR
8,Jacob Trouba,29.0,D,48,3,16,19,2,39,3,0,0,0,15,0,1,90,3.3,1051.0,21:53,0.8,2.8,3.6,142,112,0,0,,6-3,203,R/-,10,8000000.0,NYR
9,K'Andre Miller,24.0,D,46,7,11,18,2,26,7,0,0,3,10,0,1,57,12.3,1010.0,21:58,1.1,2.7,3.9,62,60,0,0,,6-5,215,L/-,3,2748000.0,NYR
10,Jimmy Vesey,30.0,LW,46,9,5,14,0,11,9,0,0,4,5,0,0,81,11.1,569.0,12:22,0.6,0.8,1.4,18,32,7,6,53.8,6-3,202,L/-,7,800000.0,NYR
11,Braden Schneider,22.0,D,48,3,9,12,-5,12,3,0,0,1,9,0,0,47,6.4,713.0,14:52,0.5,1.5,2.0,66,65,0,0,,6-3,208,R/-,2,832500.0,NYR
12,Jonny Brodzinski,30.0,C,29,1,8,9,-2,6,0,1,0,0,7,1,0,45,2.2,325.0,11:13,0.1,0.4,0.4,12,13,88,70,55.7,6-0,204,R/-,7,775000.0,NYR
13,Ryan Lindgren,25.0,D,47,2,5,7,5,24,2,0,0,1,5,0,0,45,4.4,908.0,19:20,-0.3,2.7,2.4,60,54,0,0,,6-0,190,L/-,5,4000000.0,NYR
14,Kaapo Kakko,22.0,RW,27,4,1,5,1,2,4,0,0,1,1,0,0,33,12.1,365.0,13:30,-0.1,0.5,0.4,7,6,0,0,,6-2,206,L/-,4,2400000.0,NYR
15,Barclay Goodrow,30.0,RW,46,1,4,5,-9,38,1,0,0,0,4,0,0,37,2.7,579.0,12:35,-1.0,0.5,-0.6,45,70,149,131,53.2,6-2,204,L/-,9,5100000.0,NYR
16,Tyler Pitlick,32.0,C,30,1,2,3,-4,4,1,0,0,0,2,0,0,30,3.3,303.0,10:06,-0.5,0.3,-0.2,11,58,2,14,12.5,6-2,200,R/-,9,787500.0,NYR
17,Jake Leschyshyn,24.0,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,6.0,6:28,0.0,0.0,0.0,1,0,0,0,,5-11,198,L/-,2,775000.0,NYR
