,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,Ht,Wt,S/C,Exp,Salary,Team
0,J.T. Miller,30.0,C,49,21,46,67,21,35,12,8,1,4,25,21,0,100,21.0,967.0,19:44,5.7,1.5,7.3,36,103,516,430,54.5,6-1,218,L/-,11,1000000.0,VAN
1,Elias Pettersson,25.0,C,49,27,37,64,16,4,17,10,0,9,21,15,1,137,19.7,969.0,19:47,6.0,1.4,7.4,38,59,226,238,48.7,6-2,176,L/-,5,10250000.0,VAN
2,Elias Pettersson,25.0,C,49,27,37,64,16,4,17,10,0,9,21,15,1,137,19.7,969.0,19:47,6.0,1.4,7.4,38,59,226,238,48.7,6-2,176,L/-,5,775000.0,VAN
3,Quinn Hughes,24.0,D,49,12,50,62,34,24,11,1,0,2,28,22,0,118,10.2,1201.0,24:30,5.6,4.3,9.9,35,16,0,0,,5-10,180,L/-,5,8600000.0,VAN
4,Brock Boeser,26.0,RW,49,30,22,52,20,4,18,12,0,3,18,4,0,134,22.4,923.0,18:50,5.3,1.5,6.8,18,22,6,9,40.0,6-1,208,R/-,7,6650000.0,VAN
5,Filip Hronek,26.0,D,49,3,33,36,33,30,1,2,0,0,26,7,0,94,3.2,1155.0,23:34,2.3,4.1,6.4,45,36,0,0,,6-0,190,R/-,5,5500000.0,VAN
6,Conor Garland,27.0,RW,49,8,16,24,13,8,8,0,0,0,15,1,0,109,7.3,678.0,13:50,1.2,1.0,2.2,17,17,1,1,50.0,5-10,165,R/-,5,6000000.0,VAN
7,Dakota Joshua,27.0,C,48,12,11,23,14,39,12,0,0,4,11,0,0,58,20.7,668.0,13:55,1.5,1.0,2.5,30,143,28,31,47.5,6-3,206,L/-,3,850000.0,VAN
8,Ilya Mikheyev,29.0,F,45,10,13,23,4,4,10,0,0,1,13,0,0,92,10.9,660.0,14:40,1.3,0.7,2.0,7,21,6,13,31.6,6-3,192,L/-,4,5350000.0,VAN
9,Teddy Blueger,29.0,C,35,5,16,21,9,15,4,0,1,0,15,0,1,51,9.8,540.0,15:26,1.0,0.8,1.7,24,31,250,238,51.2,6-0,185,L/-,5,1650000.0,VAN
10,Nils Hoglander,23.0,LW,47,14,6,20,13,35,14,0,0,3,6,0,0,62,22.6,521.0,11:05,1.8,0.9,2.7,15,39,0,0,,5-9,185,L/-,3,1000000.0,VAN
11,Sam Lafferty,28.0,C,49,10,10,20,16,28,9,0,1,3,10,0,0,49,20.4,610.0,12:27,1.2,1.1,2.2,26,76,86,142,37.7,6-1,195,R/-,4,1150000.0,VAN
